😀 Grinning face                    1F600
🍖 Meat on bone                     1F356
🍗 Poultry leg                      1F357
🥩 Cut of meat                      1F969
🥓 Bacon                            1F953
🍔 Hamburger                        1F354
🍟 French fries                     1F35F
🍕 Pizza                            1F355
🌭 Hot dog                          1F32D
🥪 Sandwich                         1F96A
🌮 Taco                             1F32E
🌯 Burrito                          1F32F
🫔 Tamale                           1FAD4
🥙 Stuffed flatbread                1F959
🧆 Falafel                          1F9C6
🥚 Egg                              1F95A    
🍳 Cooking egg                      1F373
🥘 Shallow pan of food              1F958
🍲 Pot of food                      1F372
🫕 Fondue                           1FAD5
🥣 Bowl with spoon                  1F963
🥗 Green salad                      1F957
🍿 Popcorn                          1F37F
🧈 Butter                           1F9C8
🧂 Salt                             1F9C2
🥫 Canned food                      1F96B
🍱 Bento box                        1F371
🍘 Rice cracker                     1F358
🍙 Rice ball                        1F359
🍚 Cooked rice                      1F35A
🍛 Curry rice                       1F35B
🍜 Steaming bowl                    1F35C
🍝 Spaghetti                        1F35D
🍠 Roasted sweet potato             1F360
🍢 Oden                             1F362
🍣 Sushi                            1F363
🍤 Fried shrimp                     1F364
🍥 Fish cake with swirl             1F365
🥮 Moon cake                        1F96E
🍡 Dango                            1F361
🥟 Dumpling                         1F95F
🥠 Fortune cookie                   1F960
🥡 Takeout box                      1F961
🦀 Crab                             1F980
🦞 Lobster                          1F99E
🦐 Shrimp                           1F990
🦑 Squid                            1F991  
🦪 Oyster                           1F9AA
🍦 Soft ice cream                   1F366
🍧 Shaved ice                       1F367
🍨 Ice cream                        1F368
🍩 Doughnut                         1F369
🍪 Cookie                           1F36A
🎂 Birthday cake                    1F382
🍰 Shortcake                        1F370
🧁 Cupcake                          1F9C1
🥧 Pie                              1F967
🍫 Chocolate bar                    1F36B
🍬 Candy                            1F36C
🍭 Lollipop                         1F36D
🍮 Custard                          1F36E
🍯 Honey pot                        1F36F
🍼 Baby bottle                      1F37C
🥛 Glass of milk                    1F95B
☕ Hot beverage                     2615
🫖 Teapot                           1FAD6
🍵 Teacup without handle            1F375
🍶 Sake                             1F376
🍾 Bottle with popping cork         1F37E
🍷 Wine glass                       1F377
🍸 Cocktail glass                   1F378
🍹 Tropical drink                   1F379
🍺 Beer mug                         1F37A
🍻 Clinking beer mugs               1F37B
🥂 Clinking glasses                 1F942
🥃 Tumbler glass                    1F943
🥤 Cup with straw                   1F964
🧋 Bubble tea                       1F9CB
🧃 Beverage box                     1F9C3
🧉 Mate                             1F9C9
🧊 Ice                              1F9CA
🥢 Chopsticks                       1F962
🍽️ Fork and knife with plate        1F37D FE0F
🍴 Fork and knife                   1F374
🥄 Spoon                            1F944
